,sku_number,sku_name,sku_url,full_description,short_description,Allergen Information,Nutrition Information,Product Packaging,Container,Benefits,Shelf Life,Ingredients,Description,Storage,Preparation,Yield,Tips
0,67056594,Knorr Pronto Tomato 2 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-pronto-tomato-2-kg-1-EN-280689.html,[''],"['Made with sustainably grown Italian tomatoes.', 'No added MSG', 'Halal - Europe']","Tomato, Sunflower Oil, Salt, Sugar, Citric Acid (Synthetic Origin) and Onion.",,6 x 2 kg.,Tin can,Deliver authentic Itlian taste,24 months,,,,,,
1,21073122,BEST FOODS Real Mayonnaise 3.5 L,https://www.unileverfoodsolutions.co.th/en/product/best-foods-real-mayonnaise-3-5-l-1-EN-113338.html,[''],"['The perfect base, nice color, retain shape.', 'From high quality natural ingredients', 'Authentice western taste, intense, well-rounded, No added MSG', 'Base for variety cold sauce and dressing']","Contain soybean, egg, mustard, and might contain celery, sulphides.",,2 x 3.5 L.,Pouch,,9 months,"Soybean oil 70%, Egg 11%, Distilled vinegar 3.4%, Sugar 1.7%, Iodized salt 1.5%, Stabilizer (INS 415), Antioxidant (INS 385) Natural flavour added",Best Foods Real Mayonnaise is a high quality mayonnaise for the professional chef. Ideal as a sauce or salad dressing. Many recipes can be used to make dished tastier and look more appetizing. This product cantains 38 mg / 15g of Omega 3 and is also made from quality pasteurized eggs. Best Foods Mayonnaise is No.1 Sales in USA Mayonnaise brand,Keep in a cool & dry place. The Product is good for 2 months in refrigerator after opening,,,
2,67035120,KNORR Intense Meaty Essence 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-intense-meaty-essence-1-kg-1-EN-210733.html,[''],"['Knorr Intense Meaty Essence intensifies the flavours of all dishes', 'Made from concentrated chicken bouillon 9.8%', 'Can boost up strong meaty taste and deliver the top note of your dishes', 'Easily melted and elevate grossy look of the meat', 'Use for stir-fry, soup, or marinade to unlock the full flavour potential of every dish']","Contains Egg, Milk, Fish and may contain Shrimp, Crab, Scallop, Soybean, Sesame",,6 x 1 kg.,Bottle,,15 months,"Salt (Non Iodized) 16%, Long-boiled chicken extract 10%, Sugar 6.5%, Flavour enhancer (Monosodiumglutamate, Disodium 5' ribonucleotide), Thickener (INS1442), Stabilizer (INS415), Artificial colour (INS160a(i)), Nature identical flavours added.","Knorr Intense Meaty Essence gives real chicken taste and aroma to your dishes. Drop to greater flavour, it can boost up strong meaty taste and deliver the top note of your dishes.",Close pack tightly and refrigerate after opening.,Shake well before use. Start with a few drops and adjust accordingly depending on intensity desired,83 servings,
3,20062494,BEST FOODS Sweet Bakery Mayonnaise 910 g,https://www.unileverfoodsolutions.co.th/en/product/best-foods-sweet-bakery-mayonnaise-910-g-1-EN-113342.html,[''],"['Easy for decoration control and dispensing from pack', 'Sweet Bakery Mayonnaise is ideal for topping or piping onto foods', 'Shelf life storage up to 6 months and can be kept up to 8 weeks in the refrigerator after first usage', 'Ensure food safety with natural raw material and high production standard']","Contain soybean, egg, mustard, and might contain celery and sulphides.",,12 x 910 g.,Pouch,Consistency in sweet & mild taste for every baked buns,6 months,"Sugar 26%, Soybean oil 13%, Distilled vinegar 3.2%, Iodized salt 2.4%, Egg 0.5%, Non dairy creamer 0.5%, Thickener (INS 1442), Stabilizers (INS 415, INS 446, INS 460), Preservative (INS 202), Acidity regulators (INS 330, INS 338), Antioxidant (INS 385), Artificail colours (INS 102, INS 110) Nature-identical flavour added","Thai favourite sweet & mild taste, suitable for buns decorating and filling",The product is good for 2 months in refrigerator after opening.,,,
4,67595439,Knorr Beef Broth Base No Added MSG 1.5 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-beef-broth-base-no-added-msg-1-5-kg-1-EN-286585.html,[''],"['Meaty taste & no added MSG', 'Made from real beef fat, vegetables, herbs and spices, yet, in keeping with the tastes of modern diners', 'Made with reduced salt and no added MSG', 'Great time savers in the kitchen', 'Bring a true made-from-scratch flavour to your soups, sauces, stews and hotpots']",No added MSG. No preservatives added. Halal certified.,,6 x 1.5 kg.,Tub,Meaty taste & no added MSG,9 Months,,,,,,
5,21075856,KNORR SELECTIONS Pizza Sauce 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-pizza-sauce-1-kg-1-EN-113418.html,[''],"['Deliver consistent, delicious & authentic Italian taste', 'Made from tomatoes, spices and oregano as inspired by the original Italian recipe', 'Made for Chef by Chef']","Contain soybean, celery, mustard, sesame and might contain product from fish.",,6 x 1 kg.,Pouch,,6 months,"Tomato 28%, Sugar 9.5%, Onion 7.8%, Tomato paste 4.8%, Red chilli pepper 3.4%, Distilled vinegar 2.4%, Iodized Salt 1.1%, Oregano flake 0.12%, Thickener (INS 1442), Flavour enhancer (Disodium 5' ribonucleotide), Preservative (INS 211), Natural colour (INS 150c, INS 160c(i)), Antioxidant (INS 316), No MSG added","Knorr Ready-To-Use Rich Pizza Sauce gives you delicious and rich in Italian style. Made for chefs by chef. Knorr Ready-To-Use Rich Pizza Sauce is made from tomatoes, spices and oregano as inspired by the original Italian recipe.",The product is good for 2 weeks in refrigerator after opening.,"Spread Knorr Pizza Sauce 70 g. on Pizza dough, place meat, seafood and others. On-top with Mozzarella cheese then put in owen.",,
6,20105497,BEST FOODS Butter Flavoured Margarine 1 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-butter-flavoured-margarine-1-kg-1-EN-113375.html,[''],"['Suitable for baked products', 'Increase cake fluffiness and softness', 'Buttery aroma with moist texture', 'Long shelf life wihtout refrigerator required']",Contain lecithin from soy and might contain product from milk,,18 x 1 kg.,Pouch,"Using margarine butter flavor, customers can save up to 50% on production cost.",9 months,"Palm oil 81%, Iodized Salt 2%, Emulsifier (INS 322i, INS 471), Acidity regulator (INS 330, INS 331iii), Sequestrant (INS 385), Natural colour (INS 160aii), Artificial flavour added",Butter Flavoured Margarine is suitable for baked products.,,,,
7,21080129,KNORR SELECTIONS Concentrated Tamarind Sauce 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-concentrated-tamarind-sauce-1-kg-1-EN-113420.html,[''],"['Consistent quality and well-rounded taste of tamarind throughout the year', 'Select only qualified tamarind', 'Clean and safe', 'Give sourness and colour of tamarind paste', 'Ready to use']",,,9 x 1 kg.,Pouch,,9 months,"Concentrated tamarind paste 50%, Sugar 3.0%, Iodized salt 0.5% Nature Identical Flavour and Preservatives added No MSG added No Colour added","Made for chefs by chefs. Made from carefully selected real tamarind , Knorr Concentrated Tamarind consistently provides tamarind taste all year round. It is prepared under stict GMP hygiene standard and is perfect for placing tamarind in all tamarind dishes.",Keep refrigerate after opening. Used within 4 weeks.,Ready to use,50 servings,
8,67033491,KNORR SELECTIONS Lime Seasoning Powder 400 g,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-lime-seasoning-powder-400-g-1-EN-113398.html,[''],"['Regardless of the season, this offers the consistently delicious sourness.', 'The consistently sour taste of Paan lime every time you use.', 'Fragrance of lime', 'Consistent juice yield', 'Save up to 5x the cost, compared to fresh lime']","Soy lecithin and may contain Wheat, Sulphite",,15 x 400 g.,Pouch,(1) 5 times more saving compared to fresh lime. Maintain consistent taste quality throughout the year (2) With real limes - 1 pack = 120 pieces of fresh lime or equal to less than 1 Baht a piece of fresh lime (3) Easy to use - Just add water to unlock the freshness of lime (4) Natural taste and aroma of real limes/Halal certified for use in varied menus,9 months,"Dextrose 68%, Lime juice powder 0.5%, Acidity regulator (INS330), Anti-caking (INS551), Artificial colour (INS102).","Made for Chefs by Chefs. A versatile seasoning with the refreshing taste of lime, perfect for many food and dessert applications.",Close pack tightly and store in a cool and dry place.,"Shake the pouch properly before use. add 3 portions of normal temperature water into 1 portion of Knorr Lime Seasoning Powder, stir well to let the powder completely dissolved.",120 fresh limes,
9,2019041301,Knorr Golden Salted Egg Powder 800g,https://www.unileverfoodsolutions.co.th/en/product/knorr-golden-salted-egg-powder-800g-1-EN-281636.html,[''],"['A good selling product, widely accepted in South East Asia', 'Made from real pasteurised egg yolks, 1 sachet is equal to 68 red egg yolks', 'Time & cost savings', 'No added MSG and no added preservatives', 'Halal']","Contains wheat, egg, soy bean, milk and may contain mollusc, crustacean, peanut and tree nuts.",,6 x 800 g.,Sachet,"- Creating new dishes to excite diners - Download the Knorr Golden Salted Egg Recipe Book for inspirations for your salted egg recipes. Rope in diners new and old with this irresistible, trending flavour.",9 months,,,,,,
10,67281570,Knorr Potato Flakes 2 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-potato-flakes-2-kg-1-EN-245095.html,[''],"['Natural potato taste best', 'Real & High quality patato from Germany', 'Can cook mashed potato for 15kg', 'Easy to prepare in 5 minutes using wok-fry method', 'No preservatives, No MSG']","Might contain wheat, milk, egg, and celery",,1 x 2 kg.,Box,- Made with 99% German Potatoes - Halal,21 months,"99% Potatoes, Emulsifier Mono and Diglyceride from Fatty Acids (E471), Stabiliser Disodium Diphosphate (E450), Antioxidant Sodium Metabisulfite (E223), Spice Extract (Contains Wheat)","KNORR Mashed Potato flakes are made with 99% sustainably grown German potatoes to help you create perfect fluffy mashed potato in less than 5 minutes. Simply combine with milk and seasonings, or your own selected ingredients, to create delicious creamy mashed potatoes. KNORR Mashed Potato is also perfect for creating toppings for pies, fillings for croquettes, or even as an ingredient for soups.",Close pack tightly and store in a cool and dry place.,1. Boil 9 litres of water with 70 g. salt. Switch power off.  2. Add 4 litres of cold water (or cold milk). Important: Do not exceed temperature of 85°C.  3. Briskly stir in 2kg potato flakes with a wired whisk.  4. Stir briefly again after 2-3 minutes until smooth.,15 kg. of mashed potato,
11,21073058,BEST FOODS Real Mayonnaise 1 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-real-mayonnaise-1-kg-1-EN-113339.html,[''],"['The perfect base, nice color, retain shape.', 'From high quality natural ingredients', 'Authentice western taste, intense, well-rounded, No added MSG', 'Base for variety cold sauce and dressing']","Contain soybean, egg, mustard, and might contain celery, sulphides.",,9 x 1 kg.,Pouch,,9 months,"Soybean oil 70%, Egg 11%, Distilled vinegar 3.4%, Sugar 1.7%, Iodized salt 1.5%, Stabilizer (INS 415), Antioxidant (INS 385) Natural flavour added",Best Foods Real Mayonnaise is a high quality mayonnaise for the professional chef. Ideal as a sauce or salad dressing. Many recipes can be used to make dished tastier and look more appetizing. This product cantains 38 mg / 15g of Omega 3 and is also made from quality pasteurized eggs. Best Foods Mayonnaise is No.1 Sales in USA Mayonnaise brand,The product is good for 2 months in refrigerator after opening.,,,
